ID,TITLE,AUTHOR,YEAR,GENRE,READ
1,The Silent Horizon,Emma Collins,2023,Science Fiction,0
2,Whispers in the Dark,James Hart,2022,Thriller,1
3,A Journey Through Time,Sophia Lee,2021,Historical Fiction,0
4,The Enchanted Forest,Oliver White,2023,Fantasy,1
5,Secrets of the Old Manor,Isabella Green,2020,Mystery,0
6,The Quantum Quest,Lucas Brown,2024,Science Fiction,1
7,Love in the Rain,Ava Johnson,2022,Romance,0
8,The Forgotten Island,Noah Wilson,2021,Adventure,1
9,The Last Expedition,Charlotte Taylor,2023,Historical Fiction,0
10,Mystery of the Lost Key,Ethan Martinez,2022,Mystery,1
11,The Invisible Enemy,Mia Anderson,2023,Thriller,0
12,The Crimson Crown,Liam Lewis,2021,Fantasy,1
13,Echoes of Eternity,Amelia Walker,2024,Science Fiction,0
14,The Hidden Path,Benjamin Harris,2020,Adventure,1
15,Love and Lies,Sofia Robinson,2023,Romance,0
16,The Clockwork City,William Hall,2022,Science Fiction,1
17,Shadows of the Past,Olivia Adams,2021,Historical Fiction,0
18,The Phantom's Curse,James King,2023,Mystery,1
19,The Dreamweaver,Isabella Scott,2024,Fantasy,0
20,The Lost Treasure,Aiden Young,2021,Adventure,1
21,Secrets of the Abyss,Evelyn Carter,2023,Thriller,0
22,The Iron Will,Jacob Green,2022,Historical Fiction,1
23,The Hidden Door,Lily Clark,2020,Fantasy,0
24,The Forgotten Legend,Daniel Wright,2024,Mystery,1
25,The Whispering Shadows,Grace Lewis,2023,Thriller,0
26,The Alchemist's Journey,Henry Walker,2021,Science Fiction,1
27,The Haunting of Hill House,Chloe Brown,2022,Horror,0
28,In the Land of Giants,Mason Martinez,2023,Fantasy,1
29,The Secret Garden,Harper King,2020,Romance,0
30,The Time Traveler's Diary,Jack Moore,2024,Science Fiction,1
31,The Midnight Code,Emily Wilson,2021,Thriller,0
32,The Ghost of Blackwood Manor,Nathan Lee,2022,Mystery,1
33,The Lost City of Z,Olivia Adams,2023,Adventure,0
34,The Illusionist's Trick,Lucas Robinson,2024,Fantasy,1
35,The Silent Witness,Mia Harris,2021,Thriller,0
36,The Celestial Voyage,George Thompson,2023,Science Fiction,1
37,The Cursed Jewel,Samantha Evans,2022,Mystery,0
38,The Secret Society,David White,2020,Adventure,1
39,The Enigma of the Stars,Alice Wright,2024,Science Fiction,0
40,The Last Heir,Elijah Clark,2021,Historical Fiction,1
41,The Silver Lining,Amelia Scott,2022,Romance,0
42,The Keeper of the Flame,John Lewis,2023,Fantasy,1
43,The Abyssal Depths,Natalie Carter,2024,Thriller,0
44,The Forbidden Library,Christopher King,2021,Mystery,1
45,The Hidden Truth,Evelyn Adams,2023,Science Fiction,0
46,The Shadow Realm,Matthew Martinez,2022,Fantasy,1
47,The Phantom of Ravenswood,Isabella Johnson,2020,Thriller,0
48,The Eternal Quest,Daniel Walker,2024,Adventure,1
49,The Clockmaker's Secret,Emma Brown,2021,Science Fiction,0
50,The Lost Realm,Oliver Hall,2022,Fantasy,1
51,The Whispering Winds,Charlotte Clark,2023,Thriller,0
52,The Hidden Fortress,James Lewis,2021,Mystery,1
53,The Secret of the Ancients,Sophia Wright,2024,Adventure,0
54,The Eternal Night,Lucas Scott,2022,Fantasy,1
55,The Last Guardian,Evelyn Brown,2021,Science Fiction,0
56,The Phantom's Legacy,William Walker,2023,Thriller,1
57,The Enchanted Kingdom,Ava King,2020,Romance,0
58,The Time Keeper's Tale,Jack Johnson,2024,Science Fiction,1
59,The Haunted Lighthouse,Chloe Evans,2021,Mystery,0
60,The Forbidden Voyage,George Carter,2023,Adventure,1
61,The Quantum Enigma,Mia Wright,2022,Science Fiction,0
62,The Lost Chronicles,Henry Thompson,2021,Historical Fiction,1
63,The Secret of the Serpent,Olivia Brown,2023,Fantasy,0
64,The Shattered Mirror,Isabella Davis,2024,Thriller,1
65,The Last Prophecy,Nathan Clark,2022,Adventure,0
66,The Hidden Maze,Grace Walker,2021,Fantasy,1
67,The Midnight Hunt,Emily Lewis,2023,Mystery,0
68,The Alchemist's Secret,Jack Harris,2022,Science Fiction,1
69,The Silent Forest,Amelia Scott,2020,Thriller,0
70,The Enigma of the Abyss,Aiden Robinson,2024,Fantasy,1
71,The Ghost Hunter's Diary,Oliver White,2021,Mystery,0
72,The Last Voyage,Sophia King,2023,Adventure,1
73,The Quantum Rift,David Adams,2022,Science Fiction,0
74,The Enchanted Maze,Emily Johnson,2024,Fantasy,1
75,The Cursed Island,Nathan Brown,2021,Thriller,0
76,The Hidden Legacy,Charlotte Walker,2023,Adventure,1
77,The Whispering Shadows,Lucas Davis,2022,Mystery,0
78,The Lost Explorer,Mia Clark,2021,Science Fiction,1
79,The Phantom's Curse,George Wright,2024,Fantasy,0
80,The Final Countdown,Olivia Johnson,2022,Thriller,1
81,The Secret of the Night,Amelia Harris,2021,Mystery,0
82,The Hidden Portal,Jack Davis,2023,Science Fiction,1
83,The Lost Treasure,Ava Martinez,2022,Adventure,0
84,The Enchanted Realm,Lucas Lewis,2024,Fantasy,1
85,The Last Survivor,Chloe Wright,2021,Thriller,0
86,The Ghost of Winterwood,Henry Brown,2023,Science Fiction,1
87,The Time Traveler,Grace Walker,2022,Adventure,0
88,The Silent Witness,James Scott,2021,Fantasy,1
89,The Lost Secret,Evelyn Clark,2024,Mystery,0
90,The Hidden Fortress,Emily Johnson,2022,Science Fiction,1
91,The Phantom's Legacy,Oliver Adams,2021,Thriller,0
92,The Enchanted Garden,Aiden White,2023,Fantasy,1
93,The Forgotten Path,Charlotte Lewis,2022,Adventure,0
94,The Secret Society,Amelia Green,2024,Science Fiction,1
95,The Last Hope,Nathan King,2021,Thriller,0
96,The Quantum Key,Chloe Martinez,2023,Fantasy,1
97,The Haunting of Ravenwood,Lucas Walker,2022,Mystery,0
98,The Hidden Secrets,Evelyn White,2021,Science Fiction,1
99,The Enigma of the Lost World,Henry Johnson,2024,Adventure,0
100,The Last Expedition,Grace Davis,2023,Fantasy,1
101,The Silent Night,James Adams,2021,Thriller,0
102,The Secret of the Stars,Emma Clark,2022,Science Fiction,1
103,The Ghost of Blackwood,Oliver Martinez,2024,Mystery,0
104,The Lost Kingdom,Aiden Walker,2021,Adventure,1
105,The Enchanted Quest,Chloe Brown,2023,Fantasy,0
106,The Hidden Treasure,George King,2022,Thriller,1
107,The Phantom's Whisper,Evelyn Lewis,2021,Science Fiction,0
108,The Forbidden Realms,David Scott,2023,Adventure,1
109,The Secret of the Abyss,Lily Martinez,2022,Fantasy,0
110,The Last Secret,James Wright,2024,Thriller,1
111,The Timeless Voyage,Isabella Carter,2021,Science Fiction,0
112,The Cursed Portrait,Elijah Evans,2022,Mystery,1
113,The Whispering Pines,Natalie Green,2023,Adventure,0
114,The Hidden Prophecy,Jacob Johnson,2024,Fantasy,1
115,The Enchanted Mirror,Emma Robinson,2021,Thriller,0
116,The Secret of the Forgotten Temple,Mason Brown,2022,Science Fiction,1
117,The Phantom's Shadow,Lily Walker,2023,Fantasy,0
118,The Lost Chronicles of Time,James Harris,2024,Adventure,1
119,The Hidden Realm,Charlotte King,2021,Mystery,0
120,The Final Enigma,Aiden Scott,2022,Science Fiction,1
121,The Enchanted Forest Chronicles,Sophia Adams,2023,Fantasy,0
122,The Whispering Wind,George Lewis,2024,Thriller,1
123,The Secret Society of Wizards,Olivia Green,2021,Adventure,0
124,The Haunting Echo,Lucas Martinez,2022,Science Fiction,1
125,The Last Guardian of the Realm,Nathan Clark,2023,Fantasy,0
126,The Phantom's Curse,Amelia Lewis,2024,Mystery,1
127,The Hidden Island,Henry Scott,2021,Adventure,0
128,The Enigma of the Hidden City,Chloe Walker,2022,Fantasy,1
129,The Lost Legend of the Ancients,Evelyn White,2023,Thriller,0
130,The Secret Keeper,Jack Adams,2024,Science Fiction,1
131,The Final Prophecy,Grace Martinez,2021,Fantasy,0
132,The Whispering Shadows,Liam Johnson,2022,Science Fiction,1
133,The Enchanted Quest,Isabella Carter,2023,Mystery,0
134,The Phantom's Secret,David Lewis,2024,Adventure,1
135,The Hidden Doorway,Emily Scott,2021,Science Fiction,0
136,The Lost Kingdom of Legends,Aiden Walker,2022,Fantasy,1
137,The Enigma of the Ancient Temple,James King,2023,Thriller,0
138,The Secret of the Moonstone,Olivia Green,2024,Science Fiction,1
139,The Last Heirloom,Charlotte Martinez,2021,Adventure,0
140,The Phantom's Legacy,Evelyn Carter,2022,Mystery,1
141,The Whispering Woods,Jacob Lewis,2023,Fantasy,0
142,The Hidden Labyrinth,Lily Brown,2024,Thriller,1
143,The Enchanted Key,Grace Walker,2021,Science Fiction,0
144,The Lost Treasure Map,Nathan Davis,2022,Adventure,1
145,The Secret of the Abyss,Isabella White,2023,Fantasy,0
146,The Final Countdown,Oliver Clark,2024,Science Fiction,1
147,The Phantom's Whisper,Emily Green,2021,Mystery,0
148,The Hidden Legacy,James Adams,2022,Adventure,1
149,The Enchanted City,Sophia Lewis,2023,Fantasy,0
150,The Secret of the Hidden Realm,David Martinez,2024,Science Fiction,1
151,The Lost Chronicles,Chloe Walker,2021,Adventure,0
152,The Phantom's Enigma,Lily Johnson,2022,Mystery,1
153,The Whispering Night,Grace Brown,2023,Fantasy,0
154,The Enchanted Voyage,Nathan King,2024,Science Fiction,1
155,The Hidden Truth,James Scott,2021,Adventure,0
156,The Last Enigma,Emily Carter,2022,Fantasy,1
157,The Phantom's Quest,Isabella Lewis,2023,Science Fiction,0
158,The Secret of the Crystal,Catherine White,2024,Thriller,1
159,The Lost Kingdom Chronicles,Oliver Walker,2021,Adventure,0
160,The Enchanted Tower,Lily Adams,2022,Fantasy,1
161,The Whispering Ghost,George Davis,2023,Mystery,0
162,The Hidden Realm of Magic,Grace Martinez,2024,Science Fiction,1
163,The Final Prophecy,Emily Scott,2021,Adventure,0
164,The Phantom's Legacy,James Carter,2022,Fantasy,1
165,The Enchanted Forest,Chloe Walker,2023,Science Fiction,0
166,The Secret of the Moon,Oliver Lewis,2024,Mystery,1
167,The Lost Adventure,Isabella Martinez,2021,Science Fiction,0
168,The Phantom's Enigma,David Adams,2022,Fantasy,1
169,The Whispering Shadows,Grace Green,2023,Thriller,0
170,The Hidden Path,Nathan Brown,2024,Adventure,1
171,The Enchanted Key,Emily Clark,2021,Mystery,0
172,The Final Countdown,James Walker,2022,Fantasy,1
173,The Phantom's Secret,Oliver White,2023,Science Fiction,0
174,The Lost Kingdom,Aiden Carter,2024,Adventure,1
175,The Enchanted Garden,Charlotte Brown,2021,Fantasy,0
176,The Secret of the Stars,Nathan Lewis,2022,Science Fiction,1
177,The Hidden Legacy,Emily King,2023,Mystery,0
178,The Phantom's Curse,James Martinez,2024,Fantasy,1
179,The Lost Legend,Olivia Adams,2021,Adventure,0
180,The Enchanted Maze,Grace White,2022,Science Fiction,1
181,The Secret of the Abyss,Jacob Walker,2023,Mystery,0
182,The Phantom's Whisper,Isabella Green,2024,Fantasy,1
183,The Lost Chronicles of Time,Oliver Lewis,2021,Adventure,0
184,The Enchanted Quest,Emily Brown,2022,Science Fiction,1
185,The Final Enigma,Lily Johnson,2023,Mystery,0
186,The Hidden Doorway,James Davis,2024,Fantasy,1
187,The Secret Society of Wizards,Charlotte Martinez,2021,Adventure,0
188,The Phantom's Shadow,Nathan White,2022,Science Fiction,1
189,The Lost Treasure Map,Grace Clark,2023,Mystery,0
190,The Enchanted Kingdom,Emily Walker,2024,Fantasy,1
191,The Hidden Realm of Magic,Jacob Green,2021,Adventure,0
192,The Phantom's Enigma,Olivia Adams,2022,Science Fiction,1
193,The Lost Legend,James Lewis,2023,Mystery,0
194,The Enchanted Garden,Sophia Martinez,2024,Fantasy,1
195,The Secret of the Moonstone,Grace Carter,2021,Adventure,0
196,The Phantom's Legacy,Nathan Brown,2022,Science Fiction,1
197,The Hidden Door,Lily Walker,2023,Mystery,0
198,The Enchanted Maze,Emily Lewis,2024,Fantasy,1
199,The Lost Kingdom,James Scott,2021,Adventure,0
200,The Secret of the Abyss,Charlotte White,2022,Science Fiction,1
201,The Phantom's Whisper,Nathan Davis,2023,Mystery,0
202,The Enchanted Quest,Oliver King,2024,Fantasy,1
203,The Lost Chronicles of Time,Emily Adams,2021,Adventure,0
204,The Phantom's Curse,Lily Martinez,2022,Science Fiction,1
205,The Hidden Legacy,James Walker,2023,Mystery,0
206,The Enchanted Tower,Grace Lewis,2024,Fantasy,1
207,The Secret of the Moon,Jacob Carter,2021,Adventure,0
208,The Phantom's Enigma,Emily Brown,2022,Science Fiction,1
209,The Lost Kingdom Chronicles,Nathan Walker,2023,Mystery,0
210,The Enchanted Realm,Charlotte Green,2024,Fantasy,1
211,The Hidden Path,James Davis,2021,Adventure,0
212,The Final Countdown,Grace White,2022,Science Fiction,1
213,The Phantom's Legacy,Emily Scott,2023,Mystery,0
214,The Lost Treasure Map,Lily Walker,2024,Fantasy,1
215,The Enchanted Key,James Green,2021,Adventure,0
216,The Secret of the Stars,Nathan Lewis,2022,Science Fiction,1
217,The Phantom's Curse,Charlotte Adams,2023,Mystery,0
218,The Lost Legend,Emily Brown,2024,Fantasy,1
219,The Enchanted Forest Chronicles,James Carter,2021,Adventure,0
220,The Phantom's Whisper,Grace White,2022,Science Fiction,1
221,The Hidden Doorway,Oliver King,2023,Mystery,0
222,The Lost Kingdom,Aiden Martinez,2024,Fantasy,1
223,The Secret Society of Wizards,Nathan Scott,2021,Adventure,0
224,The Enchanted Quest,Emily Johnson,2022,Science Fiction,1
225,The Phantom's Enigma,Lily Lewis,2023,Mystery,0
226,The Hidden Legacy,James Adams,2024,Fantasy,1
227,The Lost Chronicles,Charlotte Walker,2021,Adventure,0
228,The Enchanted Maze,Nathan Carter,2022,Science Fiction,1
229,The Phantom's Secret,Emily Martinez,2023,Mystery,0
230,The Secret of the Abyss,James Scott,2024,Fantasy,1
231,The Lost Kingdom Chronicles,Grace Brown,2021,Adventure,0
232,The Enchanted Tower,Oliver Lewis,2022,Science Fiction,1
233,The Phantom's Curse,Nathan White,2023,Mystery,0
234,The Secret of the Moonstone,Emily Green,2024,Fantasy,1
235,The Hidden Realm of Magic,Charlotte Walker,2021,Adventure,0
236,The Enchanted Quest,Grace Scott,2022,Science Fiction,1
237,The Phantom's Legacy,Lily Martinez,2023,Mystery,0
238,The Lost Kingdom Chronicles,James Brown,2024,Fantasy,1
239,The Secret of the Stars,Nathan Walker,2021,Adventure,0
240,The Enchanted Forest,Emily Lewis,2022,Science Fiction,1
241,The Phantom's Enigma,Charlotte Adams,2023,Mystery,0
242,The Lost Chronicles of Time,James Martinez,2024,Fantasy,1
243,The Hidden Doorway,Grace White,2021,Adventure,0
244,The Phantom's Secret,Nathan Scott,2022,Science Fiction,1
245,The Lost Kingdom,Emily Walker,2023,Mystery,0
246,The Enchanted Maze,Charlotte Brown,2024,Fantasy,1
247,The Secret of the Abyss,James Lewis,2021,Adventure,0
248,The Phantom's Curse,Nathan Carter,2022,Science Fiction,1
249,The Hidden Legacy,Emily Johnson,2023,Mystery,0
250,The Enchanted Quest,Grace Walker,2024,Fantasy,1
251,The Lost Chronicles of Time,James King,2021,Adventure,0
252,The Phantom's Whisper,Charlotte Lewis,2022,Science Fiction,1
253,The Hidden Realm of Magic,Nathan Green,2023,Mystery,0
254,The Secret of the Moonstone,Emily Carter,2024,Fantasy,1
255,The Enchanted Kingdom,James Scott,2021,Adventure,0
256,The Phantom's Legacy,Charlotte Adams,2022,Science Fiction,1
257,The Lost Treasure Map,Emily Lewis,2023,Mystery,0
258,The Enchanted Tower,James Walker,2024,Fantasy,1
259,The Hidden Door,Lily Martinez,2021,Adventure,0
260,The Phantom's Enigma,Oliver Green,2022,Science Fiction,1
261,The Secret of the Abyss,Charlotte King,2023,Mystery,0
262,The Lost Kingdom Chronicles,James Brown,2024,Fantasy,1
263,The Enchanted Quest,Grace White,2021,Adventure,0
264,The Phantom's Curse,Emily Davis,2022,Science Fiction,1
265,The Lost Legend,Nathan Lewis,2023,Mystery,0
266,The Hidden Legacy,James Walker,2024,Fantasy,1
267,The Enchanted Maze,Charlotte Adams,2021,Adventure,0
268,The Phantom's Whisper,Emily Brown,2022,Science Fiction,1
269,The Secret of the Stars,James Carter,2023,Mystery,0
270,The Lost Chronicles of Time,Nathan Scott,2024,Fantasy,1
271,The Enchanted Forest,Grace Martinez,2021,Adventure,0
272,The Phantom's Legacy,Lily Walker,2022,Science Fiction,1
273,The Hidden Doorway,Emily Johnson,2023,Mystery,0
274,The Lost Kingdom,James Lewis,2024,Fantasy,1
275,The Enchanted Quest,Nathan Green,2021,Adventure,0
276,The Phantom's Secret,Grace Walker,2022,Science Fiction,1
277,The Lost Legend,Charlotte White,2023,Mystery,0
278,The Hidden Realm of Magic,Emily Scott,2024,Fantasy,1
279,The Enchanted Maze,James Davis,2021,Adventure,0
280,The Phantom's Curse,Grace Lewis,2022,Science Fiction,1
281,The Lost Kingdom Chronicles,Nathan Carter,2023,Mystery,0
282,The Hidden Legacy,Emily Brown,2024,Fantasy,1
283,The Enchanted Quest,James Walker,2021,Adventure,0
284,The Phantom's Whisper,Nathan Adams,2022,Science Fiction,1
285,The Secret of the Moonstone,Charlotte Green,2023,Mystery,0
286,The Lost Treasure Map,Emily Martinez,2024,Fantasy,1
287,The Hidden Door,Nathan Lewis,2021,Adventure,0
288,The Enchanted Kingdom,Grace Carter,2022,Science Fiction,1
289,The Phantom's Legacy,James Walker,2023,Mystery,0
290,The Lost Legend,Emily Adams,2024,Fantasy,1
291,The Enchanted Tower,Charlotte Lewis,2021,Adventure,0
292,The Phantom's Enigma,Grace Brown,2022,Science Fiction,1
293,The Hidden Realm,Nathan Walker,2023,Mystery,0
294,The Secret of the Abyss,Emily Scott,2024,Fantasy,1
295,The Lost Kingdom Chronicles,James Brown,2021,Adventure,0
296,The Phantom's Curse,Grace White,2022,Science Fiction,1
297,The Enchanted Quest,Charlotte King,2023,Mystery,0
298,The Hidden Legacy,Emily Johnson,2024,Fantasy,1
299,The Lost Legend,James Carter,2021,Adventure,0
300,The Phantom's Secret,Nathan Scott,2022,Science Fiction,1
301,The Enchanted Forest,Grace Brown,2023,Mystery,0
302,The Lost Kingdom Chronicles,James Walker,2024,Fantasy,1
303,The Phantom's Whisper,Emily Green,2021,Adventure,0
304,The Hidden Realm of Magic,Nathan Lewis,2022,Science Fiction,1
305,The Secret of the Stars,Charlotte Brown,2023,Mystery,0
306,The Lost Legend,Emily Martinez,2024,Fantasy,1
307,The Enchanted Tower,James Scott,2021,Adventure,0
308,The Phantom's Legacy,Grace Lewis,2022,Science Fiction,1
309,The Hidden Path,Charlotte Walker,2023,Mystery,0
310,The Lost Kingdom Chronicles,James Carter,2024,Fantasy,1
311,The Enchanted Maze,Nathan Adams,2021,Adventure,0
312,The Phantom's Enigma,Emily Brown,2022,Science Fiction,1
313,The Secret of the Abyss,James Lewis,2023,Mystery,0
314,The Lost Treasure Map,Grace Walker,2024,Fantasy,1
315,The Hidden Legacy,Charlotte White,2021,Adventure,0
316,The Enchanted Quest,Emily Lewis,2022,Science Fiction,1
317,The Phantom's Curse,James Martinez,2023,Mystery,0
318,The Lost Legend,Grace Carter,2024,Fantasy,1
319,The Enchanted Tower,Nathan Walker,2021,Adventure,0
320,The Phantom's Whisper,Emily King,2022,Science Fiction,1
321,The Hidden Doorway,James Scott,2023,Mystery,0
322,The Lost Kingdom Chronicles,Grace Brown,2024,Fantasy,1
323,The Enchanted Maze,Charlotte Green,2021,Adventure,0
324,The Phantom's Legacy,Nathan Adams,2022,Science Fiction,1
325,The Secret of the Moonstone,Emily Davis,2023,Mystery,0
326,The Lost Chronicles,Nathan Walker,2024,Fantasy,1
327,The Enchanted Kingdom,James Lewis,2021,Adventure,0
328,The Phantom's Curse,Grace White,2022,Science Fiction,1
329,The Hidden Legacy,Emily Scott,2023,Mystery,0
330,The Lost Legend,Charlotte Walker,2024,Fantasy,1
331,The Enchanted Tower,Nathan Brown,2021,Adventure,0
332,The Phantom's Secret,James Green,2022,Science Fiction,1
333,The Hidden Path,Grace Martinez,2023,Mystery,0
334,The Lost Treasure Map,Emily Lewis,2024,Fantasy,1
335,The Enchanted Quest,Nathan Carter,2021,Adventure,0
336,The Phantom's Enigma,James Walker,2022,Science Fiction,1
337,The Secret of the Abyss,Emily Johnson,2023,Mystery,0
338,The Lost Chronicles,James Martinez,2024,Fantasy,1
339,The Enchanted Kingdom,Grace Lewis,2021,Adventure,0
340,The Phantom's Whisper,Charlotte Green,2022,Science Fiction,1
341,The Hidden Realm,Nathan Walker,2023,Mystery,0
342,The Lost Legend,Emily Carter,2024,Fantasy,1
343,The Enchanted Maze,James Carter,2021,Adventure,0
344,The Phantom's Legacy,Grace Scott,2022,Science Fiction,1
345,The Lost Kingdom Chronicles,Nathan Lewis,2023,Mystery,0
346,The Hidden Path,Emily Brown,2024,Fantasy,1
347,The Enchanted Tower,Charlotte Adams,2021,Adventure,0
348,The Phantom's Curse,James King,2022,Science Fiction,1
349,The Lost Chronicles of Time,Grace Walker,2023,Mystery,0
350,The Enchanted Quest,James Martinez,2024,Fantasy,1